date,tournament,round,player1_firstname,player1_lastname,player2_firstname,player2_lastname,category,URL
2025-01-28,Linz,R32,Clara,Tauson,Anhelina,Kalinina,WTA,20250128-W-Linz-R32-Clara_Tauson-Anhelina_Kalinina.html
2025-02-02,Singapore,F,Ann,Li,Elise,Mertens,WTA,20250202-W-Singapore-F-Ann_Li-Elise_Mertens.html
2025-02-02,Montpellier,F,Aleksandar,Kovacevic,Felix Auger,Aliassime,ATP,20250202-M-Montpellier-F-Aleksandar_Kovacevic-Felix_Auger_Aliassime.html
2025-02-01,Montpellier,SF,Jesper De,Jong,Felix Auger,Aliassime,ATP,20250201-M-Montpellier-SF-Jesper_De_Jong-Felix_Auger_Aliassime.html
2025-02-01,Montpellier,SF,Aleksandar,Kovacevic,Andrey,Rublev,ATP,20250201-M-Montpellier-SF-Aleksandar_Kovacevic-Andrey_Rublev.html
2025-01-31,Montpellier,QF,Nikoloz,Basilashvili,Andrey,Rublev,ATP,20250131-M-Montpellier-QF-Nikoloz_Basilashvili-Andrey_Rublev.html
2025-01-31,Montpellier,QF,Jesper De,Jong,Tallon,Griekspoor,ATP,20250131-M-Montpellier-QF-Jesper_De_Jong-Tallon_Griekspoor.html
2025-01-30,Montpellier,R16,Tallon,Griekspoor,Richard,Gasquet,ATP,20250130-M-Montpellier-R16-Tallon_Griekspoor-Richard_Gasquet.html
2025-01-30,Montpellier,R16,Jesper De,Jong,Flavio,Cobolli,ATP,20250130-M-Montpellier-R16-Jesper_De_Jong-Flavio_Cobolli.html
2025-01-29,Montpellier,R16,Christopher,Eubanks,Andrey,Rublev,ATP,20250129-M-Montpellier-R16-Christopher_Eubanks-Andrey_Rublev.html
2025-01-28,Montpellier,R32,Tallon,Griekspoor,Botic Van De,Zandschulp,ATP,20250128-M-Montpellier-R32-Tallon_Griekspoor-Botic_Van_De_Zandschulp.html
2025-01-28,Montpellier,R32,Richard,Gasquet,Adrian,Mannarino,ATP,20250128-M-Montpellier-R32-Richard_Gasquet-Adrian_Mannarino.html
2025-02-01,Davis Cup Qualifiers,RR,Ugo,Humbert,Joao,Fonseca,ATP,20250201-M-Davis_Cup_Qualifiers-RR-Ugo_Humbert-Joao_Fonseca.html
